ANIO;MES;APELLIDO;NOMBRES;CARGO;ASIG_MENSUALES;SALARIO_FAMILIAR;DESCUENTOS_MENSUALES;LIQUIDO
2012;NOVIEMBRE;MACRI;MAURICIO;JEFE DE GOBIERNO;6300;0;1089,9;5210,1
2012;NOVIEMBRE;VIDAL;MARIA EUGENIA;VICEJEFA DE GOBIERNO;39678,7;0;17195,5;22483,2
2012;NOVIEMBRE;RODRIGUEZ LARRETA;HORACIO ANTONIO;JEFE DE GABINETE;34999,5;0;16715,5;18284
2012;NOVIEMBRE;GRINDETTI;NESTOR OSVALDO;MINISTRO;34999,5;0;14911,4;20088,1
2012;NOVIEMBRE;BULLRICH;ESTEBAN JOSE;MINISTRO;34999,5;0;16756,3;18243,2
2012;NOVIEMBRE;CABRERA;FRANCISCO ADOLFO;MINISTRO;34999,5;0;15500,6;19498,9
2012;NOVIEMBRE;CHAIN;DANIEL GUSTAVO;MINISTRO;34999,5;0;15399,3;19600,2
2012;NOVIEMBRE;MONZO;EMILIO;MINISTRO;35951;631,5;15820,6;20130,4
2012;NOVIEMBRE;STANLEY;CAROLINA;MINISTRO;34999,5;0;15438,8;19560,8
2012;NOVIEMBRE;LOMBARDI;HERNAN SANTIAGO;MINISTRO;34999,5;0;15500,6;19498,9
2012;NOVIEMBRE;SANTILLI;DIEGO CESAR;MINISTRO;34999,5;0;14911,4;20088,1
2012;NOVIEMBRE;MONTENEGRO;GUILLERMO TRISTAN;MINISTRO;34999,5;0;15500,6;19498,9
2012;NOVIEMBRE;IBARRA;ANDRES HORACIO;MINISTRO;34999,5;0;17050,8;17948,7
2012;NOVIEMBRE;REYBAUD;GRACIELA MABEL;MINISTRO;34999,5;0;17291,9;17707,6
2012;NOVIEMBRE;CLUSELLAS;PABLO;SECRETARIO LEGAL Y TECNICO;33249,5;0;14275,1;18974,5
2012;NOVIEMBRE;DE GODOY;MIGUEL ANGEL;SECRETARIO MEDIOS;33249,5;0;14831;18418,5
2012;NOVIEMBRE;KLEMENSIEWICZ;MARINA;SECRETARIA HABITAT;33249,5;0;14205,4;19044,2
2012;NOVIEMBRE;MACCHIAVELLI;EDUARDO ALBERTO;SECRETARIO ATENC.CIUD;33788,5;539;14870,4;18918,1
2012;NOVIEMBRE;LOSTRI;HECTOR ANTONIO;SECRETARIO GRAL. PLANEAMIENTO;34999,5;0;14832,1;20167,5
2012;NOVIEMBRE;PEÑA;MARCOS;SECRETARIO GENERAL;35301,5;302;15629,5;19672
2012;NOVIEMBRE;SALVAI;CARLOS FEDERICO;SECRETARIO GRAL. DES.CUIDADANO;33249,5;0;15706,2;17543,4
2012;NOVIEMBRE;GAYTAN;FACUNDO AMADO;SECRETARIO GRAL COMUNICACIÓN;33249,5;0;14831;18418,5
2012;DICIEMBRE;MACRI;MAURICIO;JEFE DE GOBIERNO;6300;0;1089,9;5210,1
2012;DICIEMBRE;VIDAL;MARIA EUGENIA;VICEJEFA DE GOBIERNO;39678,7;0;11913,8;27764,9
2012;DICIEMBRE;RODRIGUEZ LARRETA;HORACIO ANTONIO;JEFE DE GABINETE;34999,5;0;12563,6;22436
2012;DICIEMBRE;GRINDETTI;NESTOR OSVALDO;MINISTRO;34999,5;0;10328,7;24670,8
